# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_model1_model
# start_datetime = 2025-06-22 12:21:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/standata-ea36f43448e.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/zibglmm_model1-202506220921-1-155b87.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/zibglmm_model1-profile-202506220921-1-3103a9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_model1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.122783
# Diagonal elements of inverse mass matrix:
# 0.232702, 0.461499, 1.18893, 0.893141, 0.322573, 0.876129, 1.16671, 0.960818, 1.03993, 1.05963, 0.961053, 1.03341, 1.00928, 0.805367, 0.921598, 1.06266, 1.00054, 0.976223, 1.09034, 1.09115, 1.00986, 0.874405, 0.916179, 0.530987
-24.5914,0.996577,0.122783,5,31,0,36.8442,-2.48909,-2.43382,0.102728,0.500931,1,0.217087,0,0.976152,0.0824823,-0.0693601,-0.279186,0.926436,2.2662,0.456131,-0.631402,0.736284,-0.460746,-0.381795,0.296696,-0.334672,-0.479906,-0.196822,-0.357848,0.332243,-1.30395,-1.30663,0.818807,0.102728,0.108746,0,0.488985,0.00847322,-0.00712521,-0.0286802,0.0951708,0.232802,0.0468573,-0.0648625,0.0756369,-0.0473314,-0.177722,0.137537,-0.19401,-0.133921,0.150196,-0.12538,0.0937996,-0.557543,-0.689028,0.588084,0.076948,0.0882959,1.14747,1.16176,0.0113479,0,17,0,5,0,0,0,0,7,0,12,0,0,0,0,0,0,5
-23.6135,0.998326,0.122783,5,31,0,31.9892,-3.5951,-2.06631,0.687841,0.764473,1,0.3065,0,0.951871,-0.671995,0.420989,0.071442,0.355037,0.261243,-0.561955,0.245706,-0.853495,-0.997881,0.590052,-1.02743,0.173983,0.584501,-0.380741,-1.06611,-0.549507,0.924863,-1.99882,0.69706,0.687841,0.234311,0,0.72768,-0.462226,0.289574,0.0491408,0.244209,0.179694,-0.386536,0.169006,-0.587069,-0.686383,0.271913,-0.648996,0.143344,0.508519,-0.215845,-0.907456,-0.342294,0.473021,-1.68832,0.588084,0.0344643,0.13186,3.826,4.25523,0.097396,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
-26.6042,0.94625,0.122783,5,31,0,37.6918,-3.20447,-3.01872,0.0182516,0.344751,1,-0.0784345,0,0.996919,0.518956,-0.1804,-0.0958002,0.371457,0.695521,0.547326,0.536508,1.00771,0.893148,-0.895964,1.37873,0.579661,-0.590551,1.66425,0.678433,0.739257,-1.32433,0.0183769,0.724611,0.0182516,-0.0270403,0,0.343689,0.00947177,-0.00329258,-0.00174851,0.00677967,0.0126944,0.00998956,0.00979212,0.0183923,0.0163014,-0.321965,0.478732,0.201813,-0.21301,0.553176,0.21837,0.239567,-0.482406,-0.0178351,0.588084,0.0390047,0.0493349,1.26485,1.27859,0.0103302,0,16,0,0,0,0,0,4,0,0,9,0,0,0,0,0,4,0
-23.2299,0.992806,0.122783,5,31,0,35.0864,-3.1626,-2.80102,0.470733,0.885157,1,-0.0886853,0,0.99606,-0.665445,-0.00522729,0.599226,-0.317931,0.177344,-1.02056,-0.450823,-0.86392,-0.775613,0.719495,-1.26579,-0.509196,0.297334,-0.872317,-0.189719,-0.507963,1.29201,-0.606114,0.745427,0.470733,-0.0785004,0,0.881669,-0.313247,-0.00246066,0.282075,-0.149661,0.0834816,-0.48041,-0.212217,-0.406676,-0.365107,0.686594,-1.1156,-0.495981,0.287108,-0.783016,-0.0871549,-0.412466,1.20694,-0.473506,0.588084,0.0453055,0.0769482,1.69843,1.75665,0.0316427,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,22,0
-28.5862,0.98026,0.122783,5,31,0,34.7475,-2.68688,-3.43868,0.140932,0.25799,1,0.304866,0,0.952395,0.673186,-1.1405,-1.07072,-0.0405322,1.38492,0.0972983,0.579821,1.05661,0.844775,2.09709,-0.81565,-0.477323,1.07589,1.90635,-0.313713,-1.01446,0.195709,-0.7081,0.77125,0.140932,0.0786524,0,0.245708,0.0948737,-0.160733,-0.1509,-0.00571229,0.19518,0.0137125,0.0817155,0.148911,0.119056,0.568221,-0.290115,-0.201497,0.261166,0.577333,-0.0694291,-0.203658,0.131193,-0.107542,0.588084,0.0643024,0.0323024,0.502352,0.48574,-0.032,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-27.4733,0.986634,0.122783,5,31,0,45.1069,-3.33192,-3.31436,0.0385669,0.521332,1,-0.849875,0,0.526984,-1.14324,1.13319,0.623746,-0.0133151,-1.13001,-0.143753,-0.455495,0.218605,-0.0151998,-1.03216,-0.104021,1.13687,-1.02934,-0.591129,0.136075,0.486812,-0.495723,-1.00545,0.667641,0.0385669,-0.443067,0,0.274734,-0.0440912,0.0437037,0.024056,-0.000513524,-0.0435811,-0.00554413,-0.017567,0.00843091,-0.000586211,0.222964,-0.530658,0.0359739,-0.276894,0.338268,0.101077,0.335559,-0.233048,-0.269498,0.588084,0.0345207,0.0403578,1.16909,1.1762,0.00583708,0,0,3,0,0,20,0,0,0,0,0,1,0,0,26,0,0,1
-28.4733,0.968438,0.122783,5,31,0,46.7449,-2.95456,-3.1012,0.0273443,1.24383,1,-0.672678,0,0.739935,-0.662522,-0.180729,0.193039,1.09834,-0.979043,-0.858293,0.432392,1.24037,0.265769,-0.333567,-0.382392,1.2423,-0.0404723,0.548392,-0.348255,-0.0577378,-0.0882497,0.884981,0.692859,0.0273443,-0.8367,0,0.920357,-0.0181162,-0.0049419,0.00527853,0.0300332,-0.0267713,-0.0234694,0.0118235,0.033917,0.00726728,0.247332,-0.200721,0.981847,-0.956226,1.32388,0.397615,-0.414922,-1.11904,0.59213,0.588084,0.0495395,0.0756457,1.52698,1.5701,0.0261062,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
-27.91,0.994791,0.122783,5,31,0,38.8327,-3.57352,-2.35108,0.132367,0.198399,1,0.263373,0,0.964694,-0.669392,0.144615,0.851221,-0.160167,0.363093,1.46056,-0.750966,-0.667772,0.754439,0.417959,0.685454,-1.1713,0.821674,0.249898,0.0860731,0.140489,0.246555,-2.77425,0.749417,0.132367,0.0522529,0,0.191394,-0.0886057,0.0191423,0.112674,-0.0212009,0.0480617,0.193331,-0.0994035,-0.0883913,0.0998632,0.0450172,0.138748,-0.179702,0.148894,0.0668017,0.0927926,-0.0123515,0.0122961,-0.491554,0.588084,0.0275787,0.0882465,3.19981,3.41272,0.0606678,0,6,1,0,0,16,0,0,6,0,20,1,0,0,46,0,0,9
-34.5764,0.971818,0.122783,5,31,0,44.8866,-2.29703,-3.08774,0.781155,0.00900519,1,-0.238484,0,0.971146,0.787671,-0.412838,-1.00062,0.0969122,0.295214,-1.57106,0.350562,0.816957,-2.07939,0.760458,-0.661456,1.19327,-0.785036,0.72634,-0.425704,-0.556761,-0.322507,3.5108,0.646831,0.781155,-0.00214759,0,0.00874536,0.615293,-0.32249,-0.781639,0.0757035,0.230608,-1.22724,0.273843,0.63817,-1.62433,0.00495888,-0.00489806,0.0125845,-0.00707355,0.0057181,-0.000348938,-0.00562194,-0.00457493,0.0351689,0.588084,0.110335,0.0436174,0.395317,0.367739,-0.066718,1,0,4,3,7,0,0,0,3,1,0,1,1,1,0,0,0,4
-29.1953,1,0.122783,5,31,0,41.0784,-2.62519,-2.80607,0.250853,0.0116894,1,0.00142296,0,0.999999,1.03393,0.253243,-0.570765,-1.74303,-0.662707,-0.644376,-0.0915735,0.68914,-1.17007,-0.213603,-0.348359,0.178146,-0.0910544,0.905275,-1.93677,-0.880533,0.835565,1.22836,0.639651,0.250853,1.66336e-05,0,0.0116894,0.259366,0.0635268,-0.143178,-0.437245,-0.166242,-0.161644,-0.0229715,0.172873,-0.293517,-0.00247971,-0.00406791,0.00207294,-0.00109337,0.0105711,-0.0226504,-0.0102945,0.00977875,0.0143394,0.588084,0.0693266,0.0570007,0.822206,0.811459,-0.0123258,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8
-26.5046,0.997186,0.122783,5,31,0,39.5003,-2.9287,-3.48178,0.160245,0.01323,1,0.286365,0,0.958121,-0.7091,-0.510572,-0.499548,1.14003,0.644666,0.25384,-0.64571,0.209608,-0.290981,0.829985,-0.0825549,0.282976,1.17719,-0.491226,0.00584829,0.206641,-0.445368,-0.994406,0.878165,0.160245,0.0037886,0,0.0126759,-0.11363,-0.0818167,-0.0800501,0.182684,0.103305,0.0406766,-0.103472,0.0335888,-0.0466283,0.00783433,-0.00298081,0.00169439,0.0192411,-0.00378436,0.00103583,0.000173035,-0.00485133,-0.0137074,0.588084,0.0513791,0.0298381,0.580745,0.56785,-0.0215409,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
-25.8487,0.990046,0.122783,4,31,0,37.9972,-3.22309,-3.238,0.458636,0.674171,1,0.372307,0,0.92811,-1.77799,-0.244714,-1.11333,0.0126587,1.38174,-0.266192,-0.879524,-1.98137,-1.70485,-1.00039,-0.119587,-1.03522,0.557533,0.824815,-0.741786,0.0469991,0.545187,-0.503093,0.565824,0.458636,0.250998,0,0.625705,-0.815448,-0.112234,-0.510615,0.00580575,0.633715,-0.122085,-0.403381,-0.908729,-0.781904,-1.07222,-0.136249,-0.927184,0.352028,0.862905,-0.530953,-0.191351,-0.156196,-0.742701,0.588084,0.0426197,0.0469737,1.10216,1.1072,0.00435407,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0
-23.7788,0.997364,0.122783,5,31,0,32.5434,-3.02957,-3.27725,0.295706,0.382871,1,0.481325,0,0.876542,0.841533,-0.28503,-0.176479,-0.89567,0.453222,0.117423,-0.0843683,-0.132971,-0.265345,0.000217932,0.501961,-0.371395,-0.9027,-0.329627,1.26318,-1.42476,0.304251,1.21818,0.783765,0.295706,0.184285,0,0.335603,0.248847,-0.0842853,-0.052186,-0.264855,0.134021,0.0347226,-0.0249483,-0.0393205,-0.0784641,0.155155,0.115932,-0.157164,-0.468007,-0.0271015,0.445567,-0.4937,0.0776027,0.359926,0.588084,0.0481184,0.0392711,0.816135,0.808619,-0.00884731,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-23.9817,0.996673,0.122783,5,31,0,32.1682,-3.01029,-3.20559,0.249465,0.203156,1,0.362383,0,0.932029,0.783589,-0.26513,-1.00822,-0.443141,0.700291,0.128849,-0.00115907,0.453326,0.0179769,0.23169,0.0234633,-0.589721,0.165067,0.0213358,1.10127,-1.42402,0.994197,1.24593,0.800533,0.249465,0.0736205,0,0.189348,0.195478,-0.0661407,-0.251514,-0.110548,0.174698,0.0321432,-0.000289147,0.113089,0.00448461,0.101558,-0.0150763,-0.185888,-0.00136911,0.0555956,0.218008,-0.269721,0.221623,0.237237,0.588084,0.0484107,0.0398123,0.822387,0.815022,-0.00859839,0,0,0,0,0,20,0,0,0,0,0,0,0,0,16,0,0,0
-34.9234,0.98111,0.122783,5,31,0,41.217,-3.24144,-3.27168,0.748309,0.0836716,1,0.180877,0,0.983506,0.83097,-1.06276,-1.66474,-0.54465,0.48844,-0.54993,-2.04976,0.374145,-0.747735,-1.23683,0.924732,1.98191,0.704897,1.72607,-0.273872,1.43418,1.96207,0.961118,0.925272,0.748309,0.0151343,0,0.0822915,0.621822,-0.795273,-1.24574,-0.407566,0.365504,-0.411517,-1.53386,0.279976,-0.559537,-0.0892047,0.0600135,0.1379,0.0497641,0.149433,-0.0308601,0.086999,0.167124,0.0677754,0.588084,0.0489457,0.036695,0.749708,0.740173,-0.0122507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.8249,0.997172,0.122783,5,31,0,46.2496,-3.40893,-3.81426,0.543078,0.0875662,1,0.462499,0,0.88662,1.15041,0.473512,-0.142875,1.06037,0.805855,-1.94207,-1.21136,1.49328,0.411642,0.0118021,0.64726,0.966066,0.171935,0.352364,1.1189,0.761906,1.77752,1.69522,0.947511,0.543078,0.0404993,0,0.077638,0.62476,0.257154,-0.0775923,0.575864,0.437642,-1.0547,-0.657861,0.810966,0.223554,0.047507,0.0694289,0.069217,0.056293,0.0599934,0.00821656,0.0100937,0.19848,0.148285,0.588084,0.0374228,0.0216849,0.579458,0.570136,-0.0157379,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0
-33.1003,0.997335,0.122783,5,31,0,44.8455,-3.34842,-3.75077,0.742197,0.0704249,1,0.335953,0,0.941879,1.55917,-0.869792,-0.204385,0.802759,1.97268,-1.1283,-0.924421,0.942375,-0.113863,0.721892,0.765687,0.376054,-0.69451,0.139505,0.66012,0.66808,1.80585,2.18126,0.90363,0.742197,0.0236594,0,0.0663317,1.15721,-0.645557,-0.151694,0.595806,1.46412,-0.837425,-0.686102,0.699428,-0.084509,0.0847732,0.0302105,0.0201087,-0.0270752,0.0559261,0.0170919,0.0224436,0.142081,0.141993,0.588084,0.0444114,0.0230323,0.518613,0.507264,-0.0213791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.7592,1,0.122783,5,31,0,47.3204,-3.21198,-3.08367,0.154142,0.215119,1,0.692027,0,0.721872,0.593912,-0.0695573,1.15511,-1.30535,0.895346,-1.24694,-1.21168,-0.0672274,0.789689,0.829404,0.0150457,0.58567,1.6753,1.29844,-0.443198,2.28486,0.483629,2.68615,0.56023,0.154142,0.148868,0,0.155289,0.0915468,-0.0107217,0.178052,-0.20121,0.13801,-0.192205,-0.18677,-0.0103626,0.121724,0.217212,-0.00801845,0.262908,0.0658292,0.334922,-0.254453,0.174433,0.0650941,0.534688,0.588084,0.0392086,0.0448184,1.14308,1.14979,0.00560982,0,0,1,2,0,20,0,2,1,0,0,0,1,0,18,0,4,9
-30.6294,0.995658,0.122783,5,31,0,44.6912,-2.68672,-3.7019,0.447169,0.258891,1,-0.572501,0,0.819904,-0.215758,-0.507662,0.310236,-0.0145922,-0.00342957,1.38095,1.00577,0.469513,-1.50177,0.172764,1.47673,0.440472,-1.62067,0.36169,0.291263,-1.87828,1.37779,-2.60106,0.812039,0.447169,-0.148215,0,0.212265,-0.0964804,-0.227011,0.138728,-0.00652519,-0.0015336,0.61752,0.449749,0.209952,-0.671544,0.0686504,0.388701,0.0475153,-0.341849,0.0772825,-0.142853,-0.547763,0.222869,-0.329529,0.588084,0.0692429,0.0250936,0.362399,0.345988,-0.0441493,0,8,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0
-28.8883,0.997353,0.122783,5,31,0,41.6097,-2.34858,-2.46536,0.645806,0.408879,1,-0.633366,0,0.773853,0.599463,0.742831,0.655415,-0.865981,0.279289,-0.60599,0.692396,0.699931,-0.664062,-0.480373,-0.6257,-1.10169,0.43368,-0.0689907,-1.6058,-1.60815,2.25791,-1.00885,0.858104,0.645806,-0.25897,0,0.316412,0.387137,0.479725,0.423271,-0.559256,0.180367,-0.391352,0.447154,0.45202,-0.428856,-0.307239,-0.39035,-0.51832,0.361484,-0.0941569,-0.35116,-0.688149,0.533169,-0.14724,0.588084,0.100149,0.0833992,0.832748,0.81753,-0.0167502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30.4928,0.989367,0.122783,5,31,0,39.8444,-2.41667,-3.88308,0.382483,0.421738,1,0.432653,0,0.901561,1.20288,-0.902059,-1.07338,0.554342,-0.721163,0.327798,-1.58975,0.131049,-1.41076,0.909172,1.0093,1.14719,-0.334217,2.44401,-0.465316,0.887489,-2.34808,0.754724,0.637361,0.382483,0.182466,0,0.380223,0.460079,-0.345022,-0.410548,0.212026,-0.275832,0.125377,-0.608051,0.050124,-0.539591,0.565172,0.219162,0.240333,-0.0259281,0.79768,-0.117112,0.0473681,-0.868883,0.0295474,0.588084,0.0864508,0.0225571,0.260925,0.243869,-0.0638936,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.8314,0.997359,0.122783,5,31,0,42.6386,-2.40974,-3.19194,0.448151,0.70397,1,-0.73422,0,0.678912,-0.475651,-0.0878315,2.50342,-0.195012,0.0041533,-1.08408,-1.25063,1.47837,-0.565996,0.379604,0.494719,0.400062,-0.932474,1.42583,-0.406733,0.952119,1.03942,-0.605073,0.678675,0.448151,-0.516869,0,0.477933,-0.213163,-0.0393618,1.12191,-0.0873946,0.00186131,-0.485834,-0.560472,0.662535,-0.253652,0.427274,0.28184,-1.10274,-0.344865,0.679302,0.365938,1.10146,-0.267349,0.00336109,0.588084,0.0886547,0.0497746,0.561443,0.53847,-0.0388802,1,0,0,3,0,0,1,13,0,1,0,0,0,0,0,3,4,0
-28.8329,0.978499,0.122783,5,31,0,47.7596,-3.12807,-3.12203,0.741604,0.458133,1,0.830871,0,0.556464,0.314844,-0.076675,-2.58838,0.0914969,0.875279,1.11067,1.23529,-1.31642,0.424177,-0.169249,-0.508024,-0.494059,0.829301,-0.793392,0.369462,-1.03653,-0.942184,-0.115553,0.772192,0.741604,0.38065,0,0.254935,0.233489,-0.0568625,-1.91956,0.0678545,0.64911,0.82368,0.916099,-0.97626,0.314572,0.0766977,-0.158699,-1.11122,0.246246,0.130911,0.516967,0.205966,-0.74129,0.132004,0.588084,0.0537963,0.0467736,0.869457,0.863051,-0.00702273,1,10,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0
-30.9262,0.999436,0.122783,5,31,0,42.1148,-2.2136,-3.42892,0.462032,0.309263,1,0.0149765,0,0.999888,0.385767,1.72221,2.16276,1.67315,0.109413,-1.22349,-0.895847,0.365028,-2.34728,-0.541853,1.41477,-0.458195,0.459437,0.76942,0.520493,1.23456,0.587515,1.10438,0.863312,0.462032,0.00463166,0,0.309228,0.178236,0.795714,0.999264,0.773049,0.0505522,-0.56529,-0.413909,0.168655,-1.08452,-0.16577,0.445463,-0.131669,0.14982,0.238433,0.155284,0.37761,0.183367,0.330634,0.588084,0.105632,0.0331314,0.313649,0.29013,-0.0725008,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,7
-28.8386,0.994537,0.122783,5,31,0,39.5249,-3.27199,-1.85358,0.419439,1.14823,1,0.218542,0,0.975828,-0.697194,-1.71309,-2.22264,-1.76163,-0.162046,1.21592,0.839435,-0.287648,0.144641,0.830594,-1.43899,0.433207,-0.543284,0.0960562,-0.451487,-1.19635,-0.51498,-1.20841,0.555775,0.419439,0.250936,0,1.12047,-0.29243,-0.718536,-0.932262,-0.738895,-0.0679684,0.510003,0.352092,-0.120651,0.0606682,0.755707,-2.04222,-0.0723434,-1.05079,0.0669652,-0.200761,-1.12983,-0.649202,-1.3177,0.588084,0.0400492,0.177095,4.42194,5.15836,0.137046,1,0,1,2,0,0,0,0,3,3,0,5,2,0,0,0,0,6
