# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_model1_model
# start_datetime = 2025-06-22 12:21:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/standata-ea36f43448e.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/zibglmm_model1-202506220921-2-155b87.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/zibglmm_model1-profile-202506220921-2-3103a9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_model1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.0854703
# Diagonal elements of inverse mass matrix:
# 0.249347, 0.449047, 1.41909, 1.08653, 0.333932, 0.930945, 0.97451, 0.95328, 0.907586, 1.13495, 1.02243, 0.887816, 1.06004, 0.788147, 1.00911, 0.965062, 1.07327, 0.939581, 1.00915, 0.942458, 1.00442, 0.999081, 1.08989, 0.565672
-33.0029,0.997948,0.0854703,5,63,0,44.7173,-3.13256,-3.22912,0.644367,0.00916966,1,-0.0244979,0,0.9997,-1.57343,-0.243321,-1.13489,-1.21829,0.949862,-0.256877,0.425952,0.0155813,-0.565865,0.550603,-1.56276,-0.0264078,-0.296584,0.437551,-1.5189,0.846923,0.499076,-2.04834,0.957362,0.644367,-0.000224637,0,0.00916691,-1.01387,-0.156788,-0.731283,-0.785028,0.612059,-0.165523,0.274469,0.0100401,-0.364625,0.00540078,-0.014271,1.28598e-05,-0.00244508,0.00379761,-0.0138659,0.00766798,0.00457148,-0.0186498,0.588084,0.0507242,0.038086,0.750846,0.740981,-0.0126381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-29.8658,0.998324,0.0854703,6,63,0,43.2459,-2.85416,-2.88555,0.408244,0.0588443,1,-0.220381,0,0.975414,0.162168,-0.514178,-1.04229,-1.22114,-0.0981676,0.0995008,1.07647,-1.8195,-0.055172,-0.586706,-1.63372,1.21772,1.55126,-1.3425,-0.275504,-0.0945165,1.52125,0.715737,0.796788,0.408244,-0.0129682,0,0.0573975,0.0662041,-0.20991,-0.425507,-0.498524,-0.0400763,0.0406206,0.439462,-0.742798,-0.0225236,-0.0357785,-0.0871035,0.0834106,0.104874,-0.0757829,-0.0171036,-0.0193849,0.110912,0.041797,0.588084,0.0586737,0.0529589,0.902601,0.897154,-0.00571478,0,0,0,0,0,18,0,0,3,0,0,0,0,0,21,0,0,10
-27.4474,0.989962,0.0854703,6,63,0,49.3229,-3.1512,-3.02663,0.659769,0.697477,1,0.299088,0,0.954225,-0.169756,0.108175,1.54848,2.25497,1.35285,0.0647,0.83869,1.68366,-0.482158,0.251275,1.6438,-0.265586,-2.15152,0.926259,0.133543,-0.424481,-0.550266,-0.955033,0.662429,0.659769,0.208607,0,0.66555,-0.112,0.0713702,1.02164,1.48776,0.892566,0.042687,0.553341,1.11083,-0.318113,0.131824,1.1166,0.146263,-0.96154,0.898686,0.102377,-0.107556,-0.0150056,-0.736204,0.588084,0.0503156,0.057312,1.13905,1.1475,0.00699637,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,1
-27.4064,0.993406,0.0854703,6,63,0,39.2223,-2.95173,-2.30407,0.249489,0.75144,1,-0.124853,0,0.992175,-0.629557,-0.784074,-1.25113,-0.758885,0.0385631,1.49215,0.290178,-0.619936,0.28101,-1.13477,-2.15363,-0.727747,0.0125187,0.0903262,0.478865,1.17522,0.220904,-1.56723,0.939753,0.249489,-0.0938192,0,0.74556,-0.157067,-0.195618,-0.312142,-0.189333,0.00962105,0.372274,0.0723962,-0.154667,0.0701088,-0.786978,-1.5321,-0.4252,0.0805314,0.0637257,0.217031,0.848971,0.222859,-1.19483,0.588084,0.0511511,0.108373,2.11869,2.25466,0.0572223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.7384,0.993907,0.0854703,6,63,0,41.6327,-3.42852,-3.03273,0.421366,0.774895,1,0.326007,0,0.945367,0.726135,0.687511,1.24961,0.810668,1.20792,-1.31041,-0.231319,0.682462,-1.0885,1.04324,2.03852,0.749854,-0.0413761,1.21856,-0.537924,-1.32978,-0.0677708,-0.652694,0.385888,0.421366,0.252621,0,0.73256,0.305968,0.289694,0.526543,0.341588,0.508976,-0.55216,-0.0974698,0.287566,-0.458657,0.947676,1.66702,0.864991,0.174481,1.19782,-0.725098,-1.03258,0.122758,-0.753116,0.588084,0.0346275,0.0595416,1.71949,1.76504,0.0249142,0,13,0,1,0,6,0,10,0,0,37,0,4,3,12,0,11,0
-26.7082,0.99777,0.0854703,5,31,0,38.3182,-3.00265,-3.06904,0.49649,0.470266,1,0.401151,0,0.916012,2.24056,-0.136505,1.77906,-0.856928,1.02116,-1.0429,1.30247,-0.325185,0.237198,0.887682,-0.547626,-0.0788142,0.528986,0.345913,0.600139,0.0639707,-1.85721,-0.397784,0.72431,0.49649,0.188648,0,0.43077,1.11242,-0.0677733,0.883286,-0.425456,0.506994,-0.517789,0.646663,-0.161451,0.117767,0.805063,-0.261652,0.301666,0.0662138,0.341648,0.0617809,0.273265,-0.861377,-0.126606,0.588084,0.0530354,0.0493595,0.93069,0.927091,-0.0036759,0,0,4,0,4,15,3,0,7,0,0,2,0,1,25,0,0,5
