# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_model2_model
# start_datetime = 2025-06-22 12:28:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/standata-102d74253462.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_model2-202506220928-1-4f5562.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_model2-profile-202506220928-1-2d3d82.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_model2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.143597
# Diagonal elements of inverse mass matrix:
# 0.297949, 0.489749, 1.44445, 0.972819, 0.27855, 1.00731, 0.909061, 0.98295, 0.995749, 0.958205, 1.00456, 1.06063, 0.978573, 0.843135, 0.951568, 0.962677, 0.928737, 1.02025, 1.22532, 0.909515, 1.01584, 0.887853, 0.982457, 0.47963
-34.6095,0.931691,0.143597,5,31,0,50.7602,-3.46104,-3.99146,0.574981,0.0664917,1,-0.765597,0,0.643321,-2.59747,0.159822,-1.06013,-0.256846,0.634969,-0.359144,-0.164686,2.34626,0.448758,1.76915,-0.238964,1.48727,1.16572,-0.349788,-0.471805,-1.20308,0.395864,-0.327395,0.944942,0.574981,-0.0509058,0,0.0427755,-1.49349,0.0918944,-0.609552,-0.147681,0.365095,-0.206501,-0.0946915,1.34905,0.258027,0.207902,-0.0183576,0.117585,0.0629393,-0.047286,-0.00189917,-0.0430787,-0.102505,-0.0368488,0.588084,0.03631,0.018192,0.50102,0.491775,-0.018118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.1108,0.999893,0.143597,5,31,0,45.4538,-2.6358,-3.94618,0.620574,0.335461,1,0.782055,0,0.62321,2.74584,-0.070854,1.03911,0.253412,-0.376116,0.371263,0.293054,-2.3337,-1.0047,-1.77223,0.282621,-1.38693,-0.95829,0.566336,0.465165,0.322588,-0.906607,-0.0409143,0.681462,0.620574,0.262349,0,0.209063,1.704,-0.0439702,0.644846,0.157261,-0.233408,0.230396,0.181862,-1.44823,-0.623492,0.34986,0.040497,-0.0173461,-0.133861,0.019726,0.194649,0.144324,-0.801781,-0.272136,0.588084,0.0775537,0.020401,0.263057,0.247709,-0.0571526,3,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.8448,0.987394,0.143597,5,31,0,51.8195,-2.36136,-2.58703,0.790206,0.0337095,1,0.583457,0,0.812144,-1.55519,0.376144,-1.99785,-1.44105,-0.851468,1.82432,-1.11174,1.91818,-1.83057,1.5299,0.00711808,-0.136607,-0.506108,-0.127355,0.717064,-1.35343,-0.39851,1.43801,0.917841,0.790206,0.019668,0,0.0273769,-1.22892,0.297231,-1.57871,-1.13872,-0.672835,1.44159,-0.8785,1.51576,-1.44653,0.0112965,0.00759287,-0.0430337,-0.0421982,-0.0202333,0.0555119,-0.0589183,0.0268168,0.00336454,0.588084,0.105135,0.070011,0.665917,0.640767,-0.0351237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.5813,0.998535,0.143597,5,31,0,49.3586,-3.70087,-3.96256,0.116441,0.0710746,1,-0.469655,0,0.88285,-0.281291,-1.63686,0.833388,1.29695,1.02828,0.58376,-0.297913,-0.366058,2.21497,-0.302582,-0.66813,-0.487511,-1.47259,1.25791,1.59467,0.231076,-0.174659,0.19734,0.839315,0.116441,-0.0333805,0,0.0627482,-0.0327538,-0.190597,0.0970404,0.151018,0.119734,0.0679736,-0.0346893,-0.0426241,0.257913,-0.00959687,0.0127153,-0.0584093,-0.135695,0.044607,0.0805766,0.0244441,0.00125965,-0.061554,0.588084,0.0243109,0.0187229,0.770147,0.765761,-0.00558793,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
-32.238,0.995126,0.143597,5,31,0,43.6112,-3.99779,-3.74671,0.729783,0.087771,1,-0.320792,0,0.94715,0.833811,0.444274,1.21971,0.840678,1.92568,-0.0994048,-0.961942,1.31306,1.93207,0.403745,0.170451,-0.639789,0.420522,0.369261,2.08896,-1.12843,1.86204,-0.58584,0.810743,0.729783,-0.0281562,0,0.0831322,0.608501,0.324224,0.890126,0.613512,1.40533,-0.0725439,-0.702009,0.958246,1.40999,0.0100873,0.00166094,-0.0875296,0.0112886,-0.0235225,0.176459,-0.066724,0.117825,-0.103102,0.588084,0.0247529,0.0231638,0.935798,0.934275,-0.00158919,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0
-23.7108,1,0.143597,5,31,0,42.5833,-3.08059,-3.10774,0.608964,0.780892,1,0.120359,0,0.99273,-0.437216,0.946879,1.09298,-0.746463,0.165652,0.0317346,0.0448298,0.280181,-0.546775,-0.543527,-0.358932,0.961402,-0.7463,-0.21367,-0.587501,2.10601,-0.55754,0.269375,0.803929,0.608964,0.0939878,0,0.775216,-0.266248,0.576615,0.665588,-0.454569,0.100876,0.0193252,0.0272997,0.17062,-0.332966,-0.462444,-0.189254,0.848021,-0.648702,-0.150071,-0.452458,1.63683,-0.40588,0.157434,0.588084,0.0521426,0.0560315,1.07458,1.07901,0.00388892,0,20,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,8
