# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_model2_model
# start_datetime = 2025-06-22 12:28:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/standata-102d74253462.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_model2-202506220928-2-4f5562.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_model2-profile-202506220928-2-2d3d82.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_model2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.114203
# Diagonal elements of inverse mass matrix:
# 0.265021, 0.455949, 1.03663, 1.12578, 0.352553, 0.942046, 0.986434, 1.02486, 1.06173, 0.947038, 1.01102, 0.924956, 1.04051, 0.817756, 0.921007, 1.04567, 0.956399, 0.972675, 0.930136, 1.06886, 0.888044, 0.898969, 0.954243, 0.431915
-30.8441,0.993611,0.114203,5,31,0,37.1367,-3.11419,-1.51564,0.289287,0.712966,1,0.696585,0,0.717474,0.238739,1.76801,-0.157842,-0.139893,1.27421,1.72162,0.386118,-0.5418,-2.26856,0.857612,-1.85487,-0.36452,0.9342,-0.0266986,-0.368061,-0.0544219,-1.51804,-2.27401,0.850192,0.289287,0.496642,0,0.511535,0.069064,0.511461,-0.0456616,-0.0404691,0.368612,0.498042,0.111699,-0.156736,-0.656265,0.557266,-0.070764,-0.264856,0.4084,0.619169,0.666752,0.163924,-1.04561,-2.2899,0.588084,0.0443586,0.198173,4.46753,5.32454,0.153815,0,0,3,0,0,36,3,0,0,0,0,1,0,0,146,5,0,0
-30.2636,0.987718,0.114203,5,31,0,44.1428,-3.25788,-2.7335,0.367066,0.82035,1,-0.583997,0,0.811756,0.702524,-0.98577,0.311938,-1.7448,0.896345,0.913884,-2.19889,-1.04158,0.067762,-0.939384,0.813455,0.445515,-0.930388,-0.277989,0.531072,0.799151,-0.795306,-1.99935,0.659974,0.367066,-0.479082,0,0.665924,0.257873,-0.361843,0.114502,-0.640458,0.329018,0.335456,-0.807136,-0.382328,0.0248731,-0.962125,1.01396,0.147235,0.216335,-0.614542,-0.0841721,1.58562,-0.0306125,-1.36388,0.588084,0.0397521,0.0785674,1.97643,2.05969,0.0388153,0,7,0,0,0,21,0,0,0,0,24,2,0,0,26,0,0,0
-29.1932,0.984162,0.114203,5,31,0,47.3644,-2.61651,-2.84343,0.347186,0.159861,1,0.24212,0,0.970246,0.851402,0.610438,-1.28925,-0.224659,-0.17452,-0.0676728,0.903982,0.106143,-0.856081,-0.29772,2.84625,-0.117424,1.01178,1.27662,0.415009,0.959518,-1.22096,-1.81784,0.733915,0.347186,0.0387056,0,0.155105,0.295595,0.211936,-0.447611,-0.0779985,-0.060591,-0.0234951,0.31385,0.0368514,-0.297219,-0.0132238,0.465094,-0.0681144,0.148236,0.191255,0.0617506,0.183815,-0.185269,-0.31509,0.588084,0.0715166,0.0556747,0.778486,0.765427,-0.0158419,1,0,0,1,0,29,0,0,0,1,0,0,4,0,31,0,0,0
-24.3778,0.993612,0.114203,5,31,0,43.0876,-2.97623,-3.04379,0.28378,0.305739,1,-0.0156011,0,0.999878,-0.24355,-0.375009,0.670938,-0.277696,0.884661,1.47389,-0.614703,0.179216,-0.98724,0.824452,-0.439923,-1.40577,-1.71198,-0.480285,-0.0401776,-0.69808,0.295992,0.0295708,0.921098,0.28378,-0.00476985,0,0.305702,-0.0691146,-0.10642,0.190399,-0.0788048,0.25105,0.418262,-0.174441,0.0508581,-0.280159,0.253198,-0.132697,-0.432948,-0.52203,-0.151044,-0.0193126,-0.210472,0.0896305,0.0137488,0.588084,0.0504201,0.0476184,0.944433,0.941655,-0.00280168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.7536,0.991255,0.114203,5,31,0,37.9472,-3.12709,-3.81927,0.84333,0.597065,1,0.326503,0,0.945196,-0.00567894,0.736276,1.395,0.143185,-0.0103579,-0.908092,0.527119,-0.815227,-0.473574,-1.79752,0.358719,-0.185599,1.09573,2.15204,0.760817,-0.597184,0.795504,-0.396834,0.85311,0.84333,0.194943,0,0.564343,-0.00478922,0.620923,1.17645,0.120752,-0.00873512,-0.765821,0.444536,-0.687506,-0.399379,-1.01553,0.345973,0.167205,0.64628,1.21247,0.252336,-0.234259,0.290015,-0.316271,0.588084,0.0572443,0.0265043,0.463003,0.448383,-0.03074,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
-29.9999,0.984353,0.114203,5,31,0,38.6871,-3.44213,-3.22156,0.563105,0.213283,1,-0.493491,0,0.869751,-1.34034,-0.442449,-0.799857,0.216903,1.77972,0.365042,-1.12143,0.616721,1.26106,1.19781,-0.982608,-0.0786684,-0.968856,-1.93011,-1.36155,1.58547,-0.312686,-0.240973,0.813593,0.563105,-0.105253,0,0.185503,-0.75475,-0.249145,-0.450403,0.122139,1.00217,0.205557,-0.631483,0.347279,0.710109,0.363272,-0.135707,0.0695942,-0.202555,-0.545362,-0.290992,0.412143,-0.122916,-0.177431,0.588084,0.0366988,0.0392972,1.0708,1.0737,0.00259839,0,0,0,1,1,20,1,3,0,0,0,0,0,0,10,3,3,0
