# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_prior_model1_model
# start_datetime = 2025-06-22 12:18:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpmkwtX8/standata-cbc11e0975.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpmkwtX8/zibglmm_prior_model1-202506220918-1-62ca7b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpmkwtX8/zibglmm_prior_model1-profile-202506220918-1-114678.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_prior_model1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.121078
# Diagonal elements of inverse mass matrix:
# 3.6446, 4.05616, 1.225, 1.47531, 0.275754, 0.905746, 0.929394, 0.946927, 1.06053, 0.88213, 0.965025, 0.981715, 1.03518, 1.05282, 0.840439, 0.994208, 0.938678, 1.03799, 0.915655, 0.9941, 0.993143, 1.07157, 0.920128, 3.13333
-12.5656,0.99951,0.121078,5,31,0,24.5932,2.70887,0.143236,0.259105,0.130149,1,-0.0953711,0,0.995442,0.199155,0.669854,-1.8008,-1.16572,-0.637542,1.72498,-0.151044,0.749435,-0.466781,-1.266,-0.566264,-0.0547354,-1.7896,-0.276396,-0.513065,0.255306,-0.46453,0.846076,0.287247,0.259105,-0.0124124,0,0.129555,0.0516021,0.173563,-0.466596,-0.302044,-0.16519,0.446951,-0.0391364,0.194183,-0.120945,-0.16649,-0.0816771,0.015261,-0.217384,-0.0278951,-0.0878815,0.0349511,-0.0694847,0.115408,0.588084,0.935714,0.535644,0.572444,0.0792503,-0.40007,12,0,74,30,49,486,30,0,0,5,0,12,15,3,247,12,0,0
-12.9086,0.999495,0.121078,5,31,0,21.7824,-0.263116,3.25566,0.654005,0.13811,1,-0.0648664,0,0.997894,-1.46489,-0.0810491,-1.52913,-1.1197,0.230804,0.464023,0.288276,-0.487452,0.856679,-2.22197,-0.62091,-0.220668,-0.06541,0.403099,1.51352,0.353934,-0.0295946,0.563743,0.835532,0.654005,-0.00895871,0,0.137819,-0.958045,-0.0530065,-1.00006,-0.732291,0.150947,0.303473,0.188534,-0.318796,0.560272,-0.293107,-0.0848473,-0.0167133,0.00101634,0.0534872,0.204435,0.0461963,0.000288226,0.0700199,0.588084,0.438912,0.962492,2.1929,32.8042,0.52358,0,0,0,8,0,0,0,0,0,0,0,0,32,0,0,0,0,0
-15.3698,0.985639,0.121078,5,31,0,27.3132,0.267448,-2.78675,0.127749,0.564021,1,0.24979,0,0.9683,2.27437,-1.11221,1.32678,0.219117,0.745325,-0.987042,-0.950603,0.33634,-0.920527,1.0827,1.21321,1.00651,0.156978,0.84598,-1.708,0.0969623,-0.264438,-1.43783,0.205709,0.127749,0.140887,0,0.546141,0.290548,-0.142083,0.169494,0.027992,0.0952145,-0.126094,-0.121439,0.042967,-0.117596,0.911736,0.505889,0.736625,0.116603,0.567031,-1.07187,-0.0809725,-0.0970348,-0.914947,0.588084,0.566282,0.0662954,0.117071,0.0543812,-0.499986,8,122,49,17,34,249,14,59,0,2,13,2,2,1,12,2,6,0
-13.4833,0.99987,0.121078,5,31,0,24.014,0.729663,1.62991,0.473712,0.277463,1,-0.423923,0,0.905698,-1.45114,0.0744065,-1.29655,-0.203119,-0.915273,1.03007,0.867873,-0.113017,1.40491,-0.765431,-0.572178,-1.10687,-0.675652,-0.975455,2.14526,-0.58637,0.604283,1.39629,0.791917,0.473712,-0.117623,0,0.251298,-0.687424,0.0352472,-0.614191,-0.09622,-0.433576,0.487956,0.411121,-0.0535374,0.66552,-0.0216633,-0.152539,-0.125649,-0.145899,-0.137473,0.41794,-0.249436,0.165148,0.185634,0.588084,0.66883,0.833222,1.24579,2.47375,0.164392,7,151,0,0,0,0,0,0,0,8,129,0,0,0,0,0,0,0
-10.7236,0.99915,0.121078,5,31,0,23.2506,-0.434203,0.263556,0.443826,0.301355,1,0.18412,0,0.982904,-0.147918,0.884829,1.96051,0.665431,1.34731,-0.412442,-1.13765,-0.115992,-1.76391,-0.666826,-0.0527479,0.409118,0.893151,-0.822437,-0.422777,0.367254,0.754876,-0.948155,0.227821,0.443826,0.0554855,0,0.296203,-0.06565,0.39271,0.870126,0.295336,0.597974,-0.183053,-0.504919,-0.0514803,-0.782868,-0.205723,0.0334711,0.229962,0.301476,-0.168852,-0.148112,0.0456587,0.217161,-0.378718,0.588084,0.396486,0.564516,1.4238,1.97317,0.16803,4,105,41,13,21,159,7,40,24,5,96,8,18,8,240,19,71,57
-9.92707,0.991031,0.121078,5,31,0,22.7813,-0.309135,0.733878,0.461748,0.355944,1,-0.00485729,0,0.999988,-0.470137,1.02195,1.82136,0.853363,1.30371,-0.216506,-1.19932,0.0508038,-1.00418,-0.634772,0.0228787,0.597822,1.05142,-0.731398,-0.290589,0.89247,0.55753,-1.04347,0.257636,0.461748,-0.00172892,0,0.355939,-0.217085,0.471885,0.841011,0.394039,0.601987,-0.0999713,-0.553785,0.0234585,-0.463679,-0.225128,0.00637654,0.209639,0.372766,-0.262587,-0.103058,0.319739,0.198359,-0.369677,0.588084,0.425966,0.672235,1.57814,2.76389,0.246269,0,0,49,13,29,201,7,48,0,0,0,17,30,6,329,26,71,0
