# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_prior_model1_model
# start_datetime = 2025-06-22 12:18:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpmkwtX8/standata-cbc11e0975.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpmkwtX8/zibglmm_prior_model1-202506220918-2-62ca7b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpmkwtX8/zibglmm_prior_model1-profile-202506220918-2-114678.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_prior_model1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.180515
# Diagonal elements of inverse mass matrix:
# 4.26879, 3.67703, 1.21578, 1.26412, 0.329075, 1.01583, 0.99789, 0.901278, 0.985468, 0.91373, 0.900276, 0.986001, 1.01599, 0.942011, 0.934815, 0.987619, 0.949698, 0.990139, 0.933901, 1.08769, 0.900498, 0.981759, 0.930725, 3.23428
-14.5222,0.988003,0.180515,5,31,0,25.6996,-3.11288,-3.03932,0.492003,0.108051,1,-0.674491,0,0.738283,0.0116952,0.487433,0.0191564,-0.0411146,0.695683,-1.85301,-0.611801,-0.0171912,-0.423721,1.43881,0.0802086,0.702423,-0.413212,-1.25109,-0.0767886,-0.848088,2.10811,0.892536,0.54708,0.492003,-0.0728792,0,0.079772,0.00575405,0.239819,0.00942499,-0.0202285,0.342278,-0.911686,-0.301008,-0.00845813,-0.208472,0.113924,-0.0291253,0.0546376,-0.0299663,-0.150503,0.12892,-0.0230661,0.169421,0.10208,0.588084,0.0478693,0.0459484,0.95987,0.957938,-0.00192097,1,0,0,0,0,6,0,0,0,1,0,0,0,0,34,0,0,0
-14.0252,0.997668,0.180515,5,31,0,23.4901,3.06585,2.44717,0.710475,0.214505,1,0.685139,0,0.728412,-0.0189086,-0.557385,0.148608,0.0534763,-0.510827,1.929,0.717885,-0.0276776,0.442591,-1.4695,-0.156225,-0.596137,0.521977,1.15903,0.20997,0.870763,-2.1287,-1.0265,0.625516,0.710475,0.146966,0,0.156248,-0.0134341,-0.396008,0.105583,0.0379936,-0.36293,1.37051,0.51004,-0.0196642,0.31445,-0.232385,-0.106326,-0.071305,0.0894172,0.106022,0.316305,0.24156,-0.336674,-0.095343,0.588084,0.944215,0.918932,0.973223,0.669701,-0.0252829,0,215,76,27,0,0,30,95,93,0,160,19,30,0,0,29,89,94
-15.4417,0.992696,0.180515,5,31,0,27.1446,-0.890667,-1.79419,0.696931,0.337014,1,-0.692026,0,0.721873,-0.14418,1.11213,-0.635927,-0.23151,0.530861,-2.21505,-0.665142,-0.261296,-0.414205,2.16057,0.62624,0.090321,-0.701393,-0.447771,-0.276809,-0.659964,2.29993,1.36969,0.192093,0.696931,-0.233222,0,0.243281,-0.100483,0.775079,-0.443197,-0.161346,0.369974,-1.54374,-0.463558,-0.182105,-0.288673,0.559252,-0.107021,0.170286,-0.116642,-0.232743,0.449255,-0.0054309,0.620469,0.429822,0.588084,0.304887,0.146795,0.481475,0.392261,-0.158092,0,111,0,7,16,41,0,31,26,0,19,0,6,3,119,0,28,21
-12.9737,0.974574,0.180515,5,31,0,31.4133,0.676797,1.42819,0.795743,0.377028,1,0.672315,0,0.740265,1.60968,-1.2971,-0.0146659,0.742626,-0.710058,1.23235,0.13657,0.81924,-0.542164,-1.74782,0.535101,-0.923712,-0.0773866,0.687777,0.472984,0.645404,-1.35664,-1.54231,0.572818,0.795743,0.253482,0,0.279101,1.28089,-1.03216,-0.0116703,0.59094,-0.565024,0.980635,0.108675,0.651904,-0.431424,-0.0797938,-0.179445,-0.261526,0.166644,0.0119723,0.444389,0.214751,-0.170978,-0.567889,0.588084,0.648624,0.801282,1.23536,2.18437,0.152658,0,80,54,27,0,0,0,0,0,0,128,16,25,0,0,0,0,0
-14.3948,0.950102,0.180515,4,15,0,25.0119,1.23492,0.0885976,0.200187,0.660267,1,0.248549,0,0.968619,-0.858287,-1.7091,0.729164,-1.93997,-0.12899,0.482058,0.0589739,0.732573,-0.831346,-2.87694,-0.42392,-1.02016,0.296669,1.19484,-0.720238,0.636991,-0.490881,-0.628017,0.652054,0.200187,0.164108,0,0.639548,-0.171818,-0.342141,0.145969,-0.388357,-0.0258221,0.096502,0.0118058,0.146652,-0.166425,-1.98079,-0.551595,-0.532779,-0.128631,0.74299,-0.381517,0.417064,-0.193721,-0.538078,0.588084,0.773197,0.520636,0.673355,0.318586,-0.252561,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,40,0
-9.79034,0.99968,0.180515,5,31,0,21.3534,-0.182139,-2.57228,0.864021,0.322959,1,-0.369735,0,0.929137,0.00261404,0.389119,0.451807,-0.239687,-0.00383697,0.413045,-0.0167355,-0.632528,1.34391,0.0485128,-0.906315,-0.143011,1.20632,-0.536791,1.63358,-1.76235,0.105463,-0.407239,0.425391,0.864021,-0.119409,0,0.300073,0.00225859,0.336207,0.390371,-0.207095,-0.00331522,0.356879,-0.0144598,-0.546518,1.16117,0.0142452,-0.318425,-0.0968636,0.390605,-0.160618,0.440871,-0.526835,0.107176,-0.282677,0.588084,0.459494,0.0739797,0.161003,0.0939751,-0.385514,5,117,50,0,0,286,16,37,78,0,13,2,0,0,55,1,7,4
-11.897,0.962212,0.180515,4,15,0,24.814,-2.25947,-1.44412,0.724045,0.662776,1,-0.123771,0,0.992311,0.66934,1.68038,1.47968,0.0996225,0.305116,-0.0335907,0.580874,-0.812152,1.14184,0.681718,-0.249655,-0.0040608,-0.853601,-0.340583,0.790467,-1.97944,-0.721469,-0.701084,0.886431,0.724045,-0.0820326,0,0.65768,0.484632,1.21667,1.07136,0.0721311,0.220918,-0.0243211,0.420579,-0.588034,0.826742,0.393444,-0.302039,-0.124053,-0.569569,-0.249024,0.52263,-1.34949,-0.407873,-0.554757,0.588084,0.111168,0.206603,1.85847,2.08202,0.0954349,0,0,0,3,0,0,1,0,19,0,0,0,1,0,0,3,0,8
-17.1951,0.943333,0.180515,4,15,0,34.0987,1.63861,3.13558,0.342791,0.335067,1,0.114146,0,0.993464,-1.90461,-1.5253,0.647818,-0.742264,1.21654,-0.436275,-1.1796,0.198126,-0.174709,0.376225,0.202414,0.668976,-0.0266125,1.06923,-1.40696,1.61702,1.52626,1.79485,0.035324,0.342791,0.0382467,0,0.332877,-0.652884,-0.522859,0.222066,-0.254441,0.417019,-0.149551,-0.404357,0.0679156,-0.0598887,0.0523915,0.00904106,0.247464,-0.0372478,0.402451,-0.485031,0.493154,0.515633,0.590782,0.588084,0.832897,0.95591,1.14769,4.34979,0.123013,9,175,68,24,44,400,23,80,80,11,157,17,30,11,467,30,98,96
-13.9801,0.990001,0.180515,4,31,0,28.2199,1.2285,0.385463,0.600403,0.0286372,1,-0.000681205,0,1,-1.5732,1.76454,0.206538,-0.590778,0.729434,-0.301047,0.192773,0.422399,-0.49887,-0.549532,0.724674,0.723323,-1.18331,-0.240514,0.034588,1.46572,1.42209,0.902564,0.0558734,0.600403,-1.95078e-05,0,0.0286372,-0.944556,1.05943,0.124006,-0.354705,0.437955,-0.18075,0.115742,0.25361,-0.299523,-0.0157064,0.0207182,0.0207099,-0.0338753,-0.00690189,0.000996377,0.0419703,0.0407166,0.0258567,0.588084,0.761044,0.595177,0.782053,0.461623,-0.165868,2,202,59,20,44,0,26,84,70,6,103,9,17,10,0,20,64,69
-12.5338,0.994938,0.180515,5,31,0,23.2224,-0.394635,-0.18729,0.42561,0.0732669,1,0.233868,0,0.972268,1.96864,-1.64617,-0.30682,0.689206,-0.937066,0.34223,-0.016976,-0.595861,0.243926,0.382632,-0.719685,-0.578934,0.37618,0.0310219,-0.0636048,-1.52544,-1.36075,-0.918955,0.917042,0.42561,0.0171348,0,0.0712351,0.837872,-0.700628,-0.130586,0.293333,-0.398825,0.145657,-0.00722516,-0.253604,0.103817,0.0609891,-0.0794738,-0.0464978,0.0386066,-0.0138466,0.00133315,-0.108956,-0.107143,-0.0612823,0.588084,0.405446,0.453357,1.11817,1.21617,0.0479111,0,0,31,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
-14.0281,0.989772,0.180515,4,15,0,25.0216,-0.345527,0.125869,0.633125,0.339621,1,0.0931591,0,0.995651,1.38297,-1.24604,0.0281749,0.407679,-0.608197,-0.18005,-0.685434,-2.3973,0.472739,-0.156102,-1.3191,0.74908,-0.6369,-0.791574,0.432654,-2.09332,-1.01397,-1.27626,0.884513,0.633125,0.0316388,0,0.338144,0.875591,-0.788898,0.0178382,0.258112,-0.385065,-0.113994,-0.433966,-1.51779,0.299303,-0.00902943,-0.485468,0.254189,-0.202466,-0.286909,0.140603,-0.729529,-0.418717,-0.416605,0.588084,0.419747,0.530819,1.26461,1.56399,0.111071,0,0,0,12,0,189,0,0,0,0,0,0,23,0,273,0,0,0
-8.74449,0.995387,0.180515,4,15,0,21.8971,0.433627,-1.2365,0.563812,0.612426,1,-0.0956537,0,0.995415,0.569062,-0.68296,0.625547,0.40143,-1.36055,-0.594458,-0.132929,-0.682401,1.11112,-0.725354,0.00169447,0.142608,-0.455613,-0.315711,-0.305065,-1.34037,-0.578881,-1.57912,0.844456,0.563812,-0.0585808,0,0.609618,0.320844,-0.385061,0.352691,0.226331,-0.767093,-0.335162,-0.0749472,-0.384746,0.626463,-0.475525,0.0410413,0.0502912,-0.301266,-0.112761,-0.151149,-0.809329,-0.31292,-1.02775,0.588084,0.60147,0.238059,0.395796,0.207019,-0.36341,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
-13.9923,0.972484,0.180515,5,31,0,20.2578,3.0749,3.02126,0.438462,0.443124,1,0.138876,0,0.99031,-1.14896,0.279417,1.29619,-0.566105,0.728943,-0.268967,-0.453285,0.768701,-1.92269,0.94134,-0.889224,0.446631,1.911,-0.549044,1.56566,-0.306858,0.642628,0.0102219,0.83021,0.438462,0.0615391,0,0.43883,-0.503774,0.122514,0.56833,-0.248216,0.319614,-0.117932,-0.198748,0.337046,-0.843027,0.342383,-0.373023,0.275761,0.803767,-0.196079,0.670507,-0.162553,0.32931,-0.113835,0.588084,0.951548,0.949002,0.997325,0.94754,-0.00254573,0,222,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0
-18.9876,0.970078,0.180515,4,15,0,32.0575,1.94321,-3.48098,0.307321,0.592557,1,-0.412789,0,0.910826,-0.848159,0.995346,1.03155,0.634738,1.62748,-0.375613,-0.804126,-0.93458,-1.86527,-0.0271538,0.358274,-0.161691,0.984179,2.7784,-0.291218,-0.356859,2.70662,-0.431553,0.258303,0.307321,-0.244601,0,0.539717,-0.260657,0.305891,0.317016,0.195069,0.50016,-0.115434,-0.247125,-0.287216,-0.573237,0.192806,-0.0500965,-0.339585,0.37592,1.10146,-0.0653,0.00408734,1.68941,0.223331,0.588084,0.871269,0.036016,0.0413374,0.00552022,-0.835253,9,0,72,0,47,423,0,80,83,1,0,1,0,5,19,0,12,7
-14.1503,0.999458,0.180515,5,31,0,27.187,1.34282,-2.52345,0.86025,0.555667,1,-0.221752,0,0.975103,-1.08581,-1.06832,-0.356044,0.245431,0.541651,-0.230431,-0.732745,-1.66471,-0.679113,-0.61989,0.508624,0.585372,1.53218,2.31645,0.0710586,0.233978,1.57516,-0.76717,0.106429,0.86025,-0.12322,0,0.541832,-0.934066,-0.919018,-0.306287,0.211132,0.465955,-0.198228,-0.630344,-1.43207,-0.584207,-0.202083,0.407227,0.361045,0.799942,1.18839,0.0668956,0.217066,1.0586,-0.331997,0.588084,0.768206,0.0832774,0.108405,0.0274103,-0.684929,6,137,58,26,47,388,20,45,69,0,24,2,7,3,35,4,14,4
-20.7183,0.975798,0.180515,4,15,0,29.6966,3.80673,-1.82351,0.473199,1.01,1,-0.489165,0,0.872191,-1.10821,-0.596246,-0.415165,-0.158689,0.228546,0.157459,-1.58774,-1.12805,-0.926367,0.109299,-0.375509,-0.562255,2.58091,2.90151,-0.807111,-0.933214,1.34961,-0.0180191,0.0344657,0.473199,-0.494056,0,0.880912,-0.524403,-0.282143,-0.196455,-0.0750913,0.108148,0.0745096,-0.751319,-0.53379,-0.438356,0.6438,-0.0362114,-0.290183,2.35196,2.44306,-0.788788,-0.037645,1.74621,0.441804,0.588084,0.975093,0.172529,0.176936,0.00532586,-0.802563,11,214,76,30,50,490,27,100,96,1,17,3,20,12,34,3,48,15
-12.1227,0.995738,0.180515,4,15,0,27.2562,0.0356883,-2.44585,0.759026,0.164537,1,-0.466059,0,0.884754,-0.665227,-0.961257,0.3496,0.77552,-0.208273,0.316827,-0.926676,-1.41192,-0.240347,0.162852,-0.605114,0.0824804,1.43561,1.88562,0.617557,-0.888949,-0.546068,1.17846,0.166417,0.759026,-0.076684,0,0.145575,-0.504925,-0.729619,0.265355,0.58864,-0.158085,0.24048,-0.703372,-1.07169,-0.18243,0.0747195,-0.0143765,-0.0148016,0.149519,0.29047,0.0656053,-0.0583476,0.028778,0.189985,0.588084,0.508147,0.0805813,0.158579,0.0848335,-0.427565,4,61,53,18,22,275,13,25,39,2,15,1,3,1,45,1,6,13
