# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_prior_model2_model
# start_datetime = 2025-06-22 12:28:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/standata-102d7b5757fb.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_prior_model2-202506220928-1-79558f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_prior_model2-profile-202506220928-1-05ccfe.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_prior_model2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.181848
# Diagonal elements of inverse mass matrix:
# 107.46, 92.1801, 1.01726, 1.11153, 0.350065, 1.14441, 0.990224, 0.98661, 0.948502, 0.97372, 0.972055, 0.895716, 0.98384, 1.01027, 1.04166, 1.03902, 0.994286, 0.959955, 1.00249, 1.12784, 1.05717, 0.949955, 0.912333, 3.76668
-14.5706,0.97717,0.181848,5,31,0,23.2751,-7.7283,5.92906,0.366671,0.537505,1,0.138066,0,0.990423,-1.71137,1.23737,-1.09017,1.48368,0.204857,-0.649008,0.413611,-0.981184,0.316424,-2.11658,-1.83996,0.0284105,0.616849,0.452026,-0.708429,1.65509,1.09618,0.316019,0.7605,0.366671,0.0742113,0,0.532358,-0.627511,0.453709,-0.399733,0.544023,0.0751151,-0.237973,0.151659,-0.359772,0.116024,-1.25378,-0.88769,-0.0657781,0.43849,0.255842,-0.425301,0.911793,0.510744,0.191717,0.588084,0.000523391,0.996506,1903.94,544706,0.995983,0,0,0,0,0,0,0,0,0,0,168,0,34,13,0,0,0,0
-17.4492,0.990082,0.181848,4,15,0,24.6679,11.6554,-4.04989,0.625216,0.164358,1,-0.12287,0,0.992423,1.43055,-1.35667,1.73391,-1.25897,0.0472675,0.718012,-0.336449,0.452759,-0.570954,2.85856,2.18548,0.492592,-0.123282,-0.683759,0.743184,-0.183957,0.143565,-0.877824,0.0819419,0.625216,-0.0201948,0,0.163113,0.894406,-0.848215,1.08407,-0.787126,0.0295524,0.448913,-0.210354,0.283072,-0.35697,0.437378,0.383879,0.0453322,0.00531571,-0.112485,0.106723,-0.0232113,0.014274,-0.131654,0.588084,0.999982,0.017445,0.0174454,3.15064e-07,-0.982537,12,224,80,30,51,502,30,101,98,0,2,0,1,1,14,2,1,0
-12.3713,0.999208,0.181848,4,15,0,26.5704,4.70029,2.32212,0.489489,0.358382,1,-0.305338,0,0.952244,1.15868,-1.38011,2.42881,0.210306,0.626557,0.565957,-0.124807,0.336798,-1.47625,1.24421,1.22374,0.30671,-0.48302,-0.173876,0.62346,0.64717,-0.894399,-0.794201,0.157215,0.489489,-0.109428,0,0.341267,0.567159,-0.675547,1.18887,0.102942,0.306692,0.27703,-0.0610915,0.164859,-0.722607,0.297816,0.568645,-0.161108,-0.187852,-0.127901,0.150835,0.234515,-0.342084,-0.109493,0.588084,0.989195,0.906548,0.916451,0.105962,-0.0826466,12,223,80,29,51,0,30,100,0,12,157,20,29,11,0,26,90,0
-13.5087,0.982494,0.181848,5,31,0,26.5767,-4.47436,-4.03929,0.592151,0.756388,1,0.222837,0,0.974856,-1.1743,1.37626,-2.6232,0.509259,-1.03361,-0.408673,-0.264645,-0.334272,1.85449,-1.17899,-1.24181,-0.637095,0.34377,-0.21568,-0.80673,-0.621178,0.609717,0.350832,0.794047,0.592151,0.168551,0,0.737369,-0.695365,0.814952,-1.55333,0.301558,-0.612055,-0.241996,-0.15671,-0.19794,1.09814,-1.06728,-0.683703,-0.911918,0.339322,-0.333253,-0.66374,-0.502643,0.393244,0.57127,0.588084,0.0144077,0.0243485,1.68996,1.70718,0.00994079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13.2242,0.996678,0.181848,5,31,0,24.369,5.41956,4.45024,0.232254,0.237083,1,0.343708,0,0.939076,-0.199103,-1.05387,-0.0947925,-1.97083,-0.459933,-0.269986,-1.02311,0.934122,-0.734078,-0.826903,0.677938,-1.43062,0.271895,1.45763,-0.571751,-2.0728,-1.18863,0.0249078,0.48071,0.232254,0.0814875,0,0.222639,-0.0462423,-0.244765,-0.0220159,-0.457733,-0.106821,-0.0627052,-0.237621,0.216953,-0.170492,-0.200326,0.0650586,-0.326237,-0.100063,0.287047,-0.149295,-0.544858,-0.188517,-0.0542727,0.588084,0.995366,0.987962,0.992562,0.382089,-0.00740376,11,224,79,0,0,499,0,101,97,12,165,20,0,0,497,0,99,99
-12.8527,1,0.181848,5,31,0,20.5759,-6.66965,-4.50652,0.394834,0.230853,1,-0.00253243,0,0.999997,-0.023356,1.03832,0.102245,1.96093,0.836568,0.150699,0.99978,-0.892611,0.730961,0.700501,-0.704787,1.41439,-0.236245,-1.54861,0.455451,2.00562,1.3298,-0.0123356,0.482941,0.394834,-0.000584619,0,0.230852,-0.00922174,0.409963,0.0403696,0.774239,0.330305,0.0595011,0.394747,-0.352433,0.288608,0.161726,-0.163309,0.326455,-0.055684,-0.357988,0.105054,0.462418,0.307508,-0.00327504,0.588084,0.00150597,0.0113676,7.54834,7.62364,0.00986161,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0
-11.9771,0.977283,0.181848,5,31,0,27.7599,-2.98647,-9.08355,0.566423,0.252287,1,-0.0368303,0,0.999322,0.700679,1.18744,0.0652325,1.81587,0.477049,1.00374,0.62019,-0.593774,0.334161,0.0205124,-0.624216,1.93097,-0.557267,-1.64469,0.0545927,1.67714,0.508019,0.330255,0.486118,0.566423,-0.00929181,0,0.252116,0.39688,0.672591,0.0369492,1.02855,0.270212,0.568543,0.35129,-0.336327,0.189277,-0.00133908,-0.168408,0.486222,-0.157368,-0.419084,0.00443709,0.417071,0.133597,0.0801575,0.588084,0.0555451,0.000125235,0.00225466,0.00212969,-0.0554198,0,21,0,4,3,37,0,7,5,0,0,0,0,0,0,0,0,0
-15.5769,0.974988,0.181848,5,31,0,26.7212,-8.70532,15.3583,0.616859,0.418219,1,-0.22637,0,0.974041,-0.613524,-1.28345,-1.31412,-1.42762,-0.296217,0.522089,-0.54776,0.930569,-0.519892,-1.14272,-1.69199,-0.688832,-0.678199,0.773175,1.53388,-1.08964,1.66928,-0.993022,0.08684,0.616859,-0.0946723,0,0.407363,-0.378458,-0.791708,-0.810625,-0.88064,-0.182724,0.322055,-0.337891,0.57403,-0.3207,-0.407418,-0.567747,-0.156194,-0.141117,0.343006,0.575419,-0.392021,0.591903,-0.355301,0.588084,0.000279148,1,3582.33,1.07413e+10,0.999721,0,0,0,0,0,0,0,0,0,12,168,20,34,0,500,30,100,100
-19.2314,0.985606,0.181848,5,31,0,31.3102,5.32672,-5.43906,0.769707,0.417719,1,-0.420584,0,0.907254,0.182278,-1.35371,1.71197,-0.934346,-1.06773,-0.116399,1.06341,-0.332395,0.408813,-0.113272,1.28041,-0.716219,-0.740371,0.273946,-1.01457,2.75436,-1.33713,1.82967,0.992377,0.769707,-0.175686,0,0.378977,0.140301,-1.04196,1.31772,-0.719172,-0.821839,-0.0895927,0.818514,-0.255846,0.314666,-0.0749511,0.723074,-0.5722,-0.116432,0.291405,-0.36405,0.857014,-0.448346,0.621579,0.588084,0.992253,0.00505647,0.00509595,3.96771e-05,-0.987197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.5138,0.985468,0.181848,5,31,0,34.0247,-1.22999,-21.5562,1.07122,0.339128,1,-0.488521,0,0.872552,-0.280449,-0.962911,0.197101,2.88092,-0.82432,0.28012,-2.14158,0.197706,1.10279,-1.04313,1.312,0.0808573,-0.493982,0.476087,0.656789,1.70994,-1.19259,0.436038,0.514476,1.07122,-0.165671,0,0.295907,-0.300421,-1.03149,0.211137,3.08609,-0.883025,0.300069,-2.29409,0.211786,1.18132,-0.262206,0.547756,-0.00872767,-0.623459,0.277444,0.147941,0.86078,-0.38565,-0.0536731,0.588084,0.261015,6.59268e-10,2.52579e-09,1.86652e-09,-0.261015,1,21,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
-15.5901,0.998608,0.181848,4,15,0,32.4568,-19.1095,-0.54159,0.152364,0.677581,1,0.445532,0,0.895266,0.107669,1.76525,1.23899,-1.39127,0.217659,-1.013,-0.87397,-2.00728,1.64673,-0.268135,-0.118799,0.0326156,-0.968273,0.372336,-0.424068,0.917392,0.188225,0.146495,0.932244,0.152364,0.301884,0,0.606615,0.0164049,0.26896,0.188777,-0.211979,0.0331634,-0.154345,-0.133162,-0.305837,0.250902,-0.130151,0.460835,0.393816,-1.00737,0.291573,-0.563056,0.292666,-0.491785,0.585987,0.588084,5.41944e-09,0.376808,6.9529e+07,1.11569e+08,0.376808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
