# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_prior_model2_model
# start_datetime = 2025-06-22 12:28:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/standata-102d7b5757fb.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_prior_model2-202506220928-2-79558f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpfaqpdQ/zibglmm_prior_model2-profile-202506220928-2-05ccfe.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_prior_model2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.0727489
# Diagonal elements of inverse mass matrix:
# 95.7816, 101.461, 1.23206, 1.23015, 0.303326, 0.882358, 1.10272, 0.998361, 0.941129, 0.956357, 0.936554, 0.94045, 0.952729, 1.01399, 0.977728, 1.12269, 0.920401, 0.98989, 0.936226, 0.955028, 1.0362, 0.920647, 0.924963, 3.81298
-9.20283,0.998885,0.0727489,6,63,0,18.0319,9.11405,1.37252,0.682284,0.660468,1,-0.652464,0,0.75782,-1.53789,0.575045,-0.114385,-0.248824,0.48139,-0.282668,-0.296599,0.797253,1.46729,0.0683999,0.340201,-0.58762,-0.014996,0.600164,-0.230653,-0.991401,-0.97688,-0.241356,0.845939,0.682284,-0.430932,0,0.500516,-1.04928,0.392344,-0.0780427,-0.169769,0.328444,-0.19286,-0.202365,0.543952,1.0011,0.696961,-0.0775292,-0.244821,0.0997206,0.0929452,0.00636528,-0.368398,-0.832505,-0.753102,0.588084,0.999788,0.782348,0.782514,0.000762311,-0.21744,0,224,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0
-10.7107,0.995594,0.0727489,6,63,0,20.2868,3.85066,-0.792294,0.685806,0.893915,1,-0.693209,0,0.720737,-1.5211,0.704401,-0.479479,-0.211758,0.811191,-0.329249,-0.298747,0.883625,1.32255,0.386477,0.242774,-0.756821,0.724087,0.453519,-0.439415,-0.845777,-1.25181,-0.579892,0.885015,0.685806,-0.61967,0,0.644277,-1.04318,0.483082,-0.328829,-0.145225,0.556319,-0.225801,-0.204883,0.605995,0.907011,1.19158,-0.280082,-0.190484,0.597733,-0.210478,-0.0790791,-0.35979,-1.35407,-1.19315,0.588084,0.972646,0.331525,0.340849,0.0139476,-0.641121,0,0,0,0,0,493,29,0,0,0,0,0,0,0,154,3,0,0
-12.1873,0.998726,0.0727489,6,63,0,19.8338,-3.59596,10.1019,0.380531,0.173164,1,-0.361789,0,0.93226,-1.43957,0.0180367,0.534044,0.611029,-0.185132,0.183705,2.12553,0.723135,2.06884,1.00462,-0.258236,0.557164,-0.331716,-0.240917,-0.297478,0.0477549,1.42631,-0.847541,0.470475,0.380531,-0.0626488,0,0.161434,-0.5478,0.00686353,0.20322,0.232515,-0.0704486,0.0699053,0.808829,0.275175,0.78726,0.252366,-0.042818,0.0564878,-0.0918303,-0.0272938,-0.0595318,-0.125452,0.184951,-0.266432,0.588084,0.0290526,0.999957,34.4189,773851,0.970904,0,5,2,0,1,0,0,3,0,0,168,20,0,13,0,0,100,0
-16.0898,0.997989,0.0727489,6,63,0,25.2122,-2.75151,-12.9479,0.527243,0.0910529,1,0.371634,0,0.928379,1.10498,0.149644,0.526903,-0.743035,-0.248576,-0.0550812,-2.20318,-0.368253,-2.73475,-0.75075,-0.460415,-0.515572,0.54273,0.562935,0.292049,0.823027,-1.95998,1.32157,0.475248,0.527243,0.0338384,0,0.0845316,0.582593,0.0788989,0.277806,-0.39176,-0.13106,-0.0290411,-1.16161,-0.194159,-1.44188,-0.0260714,-0.0338559,-0.0257526,0.0207348,0.0391744,0.0228235,-0.00498003,-0.178141,0.0191755,0.588084,0.067353,2.42564e-06,3.60138e-05,3.35882e-05,-0.0673506,1,7,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
-16.5392,0.998843,0.0727489,6,63,0,26.6811,-2.53523,13.345,0.280245,1.11814,1,-0.320308,0,0.947314,-1.70188,0.194101,-1.09865,0.883457,1.19918,-0.229476,0.386267,-1.13522,1.97082,0.562496,0.877561,0.180908,-1.11661,-1.03331,-0.411343,-1.51898,1.87513,1.31758,0.676887,0.280245,-0.358149,0,1.05923,-0.476945,0.054396,-0.307891,0.247585,0.336065,-0.0643096,0.10825,-0.31814,0.552312,1.20534,0.860023,0.585103,-1.49915,-1.524,-0.353521,-1.7473,2.39278,0.689771,0.588084,0.075754,0.999986,13.2004,849010,0.924232,0,20,0,2,0,0,0,0,0,0,168,0,34,0,0,0,0,0
-20.5038,0.998563,0.0727489,6,63,0,33.0574,11.9336,-3.19895,0.624008,0.102264,1,0.211795,0,0.977314,2.70831,0.145823,0.954473,-1.01564,-0.725074,-0.573591,0.650338,1.9939,-1.30546,0.711907,0.685465,-1.75079,1.2471,0.714847,1.24579,-1.30982,-1.36056,1.02278,0.958261,0.624008,0.021659,0,0.0999437,1.69001,0.0909947,0.595599,-0.633768,-0.452452,-0.357925,0.405816,1.24421,-0.81462,0.12981,0.0716663,-0.154308,0.102642,0.0557401,0.112085,-0.116822,-0.092794,0.0739449,0.588084,0.999986,0.0394232,0.0394238,5.59466e-07,-0.960563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
